date,word,language,month,Leo_months
2021-05-30,pato,spanish,2021-05,19
2021-05-30,pierna,spanish,2021-05,19
2021-05-31,Nussmuss,german,2021-05,19
2021-05-31,pañal,spanish,2021-05,19
2021-05-31,atrás,spanish,2021-05,19
2021-06-01,Gordo,neutral,2021-06,19
2021-06-01,guckmal,german,2021-06,19
2021-06-01,dankeschön,german,2021-06,19
2021-06-01,Bein,german,2021-06,19
2021-06-02,grün,german,2021-06,19
2021-06-02,Pflaster,german,2021-06,19
2021-06-02,palo,spanish,2021-06,19
2021-06-02,paso,spanish,2021-06,19
2021-06-02,grau,german,2021-06,19
2021-06-03,cabeza,spanish,2021-06,19
2021-06-03,Bagger,german,2021-06,19
2021-06-04,estrella,spanish,2021-06,19
2021-06-04,flor,spanish,2021-06,19
2021-06-04,escucha,spanish,2021-06,19
2021-06-04,freetime,neutral,2021-06,19
2021-06-05,abrazo,spanish,2021-06,19
2021-06-05,pinching,neutral,2021-06,19
2021-06-05,cuchillo,spanish,2021-06,19
2021-06-05,fuchi,spanish,2021-06,19
2021-06-06,leer,german,2021-06,19
2021-06-06,balcón,spanish,2021-06,19
2021-06-06,abeja,spanish,2021-06,19
2021-06-06,panda,spanish,2021-06,19
2021-06-07,cuello,spanish,2021-06,19
2021-06-07,diente,spanish,2021-06,19
2021-06-07,Eimer,german,2021-06,19
2021-06-07,piedra,spanish,2021-06,19
2021-06-07,llave,spanish,2021-06,19
2021-06-07,baño,spanish,2021-06,19
2021-06-08,Krahn,german,2021-06,19
2021-06-09,hoch,german,2021-06,19
2021-06-10,aus,german,2021-06,19
2021-06-10,mit,german,2021-06,19
2021-06-10,pelota,spanish,2021-06,19
2021-06-10,Teller,german,2021-06,19
2021-06-10,oben,german,2021-06,19
2021-06-10,Hocker,german,2021-06,19
2021-06-10,cuarto,spanish,2021-06,19
2021-06-10,uñas,spanish,2021-06,19
2021-06-10,Bett,german,2021-06,19
2021-06-11,Gabel,german,2021-06,19
2021-06-12,Mund,german,2021-06,19
2021-06-12,uno,spanish,2021-06,19
2021-06-12,despierta,spanish,2021-06,19
2021-06-13,hamaca,spanish,2021-06,19
2021-06-13,negro,spanish,2021-06,19
2021-06-13,alberca,spanish,2021-06,19
2021-06-13,gato,spanish,2021-06,19
2021-06-13,calle,spanish,2021-06,19
2021-06-13,fang,german,2021-06,19
2021-06-13,nada,spanish,2021-06,19
2021-06-14,Schlafsack,german,2021-06,19
2021-06-14,espalda,spanish,2021-06,19
2021-06-14,hielo,spanish,2021-06,19
2021-06-14,conejo,spanish,2021-06,19
2021-06-14,Stift,german,2021-06,19
2021-06-15,Finger,german,2021-06,19
2021-06-16,cocina,spanish,2021-06,19
2021-06-16,moneda,spanish,2021-06,19
2021-06-16,tortilla,spanish,2021-06,19
2021-06-16,Rutsche,german,2021-06,19
2021-06-17,plato,spanish,2021-06,19
2021-06-17,perro,spanish,2021-06,19
2021-06-17,caminar,spanish,2021-06,19
2021-06-17,kuscheln,german,2021-06,19
2021-06-17,Kinderwagen,german,2021-06,19
2021-06-17,Straße,german,2021-06,19
2021-06-17,schauen,german,2021-06,19
2021-06-17,Fuchs,german,2021-06,19
2021-06-17,Bus,german,2021-06,19
2021-06-18,Müsli,german,2021-06,19
2021-06-18,werfen,german,2021-06,19
2021-06-18,klettern,german,2021-06,19
2021-06-18,burbujas,spanish,2021-06,19
2021-06-18,barco,spanish,2021-06,19
2021-06-18,Schwein,german,2021-06,19
2021-06-18,Wohnzimmer,german,2021-06,19
2021-06-19,hochklettern,german,2021-06,20
2021-06-19,blanco,spanish,2021-06,20
2021-06-19,jirafa,spanish,2021-06,20
2021-06-20,cocodrilo,spanish,2021-06,20
2021-06-20,techo,spanish,2021-06,20
2021-06-20,cargo,spanish,2021-06,20
2021-06-20,Katze,german,2021-06,20
2021-06-20,Couch,german,2021-06,20
2021-06-21,beißen,german,2021-06,20
2021-06-21,flasche,german,2021-06,20
2021-06-22,cuatro,spanish,2021-06,20
2021-06-23,espejo,spanish,2021-06,20
2021-06-23,highfive,neutral,2021-06,20
2021-06-23,Unterhose,german,2021-06,20
2021-06-23,Gartenmurmel,german,2021-06,20
2021-06-24,tiburón,spanish,2021-06,20
2021-06-24,Heidelbeeren,german,2021-06,20
2021-06-24,Bäuerchen,german,2021-06,20
2021-06-25,lirón,spanish,2021-06,20
2021-06-25,de nada,spanish,2021-06,20
2021-06-25,noche,spanish,2021-06,20
2021-06-25,waschen,german,2021-06,20
2021-06-25,aspirar,spanish,2021-06,20
2021-06-25,morder,spanish,2021-06,20
2021-06-26,so,german,2021-06,20
2021-06-26,durst,german,2021-06,20
2021-06-27,Leiter,german,2021-06,20
2021-06-27,Decke,german,2021-06,20
2021-06-27,Fledermaus,german,2021-06,20
2021-06-27,Frühling,german,2021-06,20
2021-06-27,Herbst,german,2021-06,20
2021-06-27,mucho,spanish,2021-06,20
2021-06-27,Eule,german,2021-06,20
2021-06-28,weg,german,2021-06,20
2021-06-28,Zwieback,german,2021-06,20
2021-06-28,Zebra,german,2021-06,20
2021-06-28,Pijama,german,2021-06,20
2021-06-29,Frühstück,german,2021-06,20
2021-06-29,hell,german,2021-06,20
2021-06-29,Taschenrechner,german,2021-06,20
2021-06-29,Bartolito,neutral,2021-06,20
2021-06-29,Buch,german,2021-06,20
2021-06-30,streicheln,german,2021-06,20
2021-06-30,cabra,spanish,2021-06,20
2021-06-30,rausschauen,german,2021-06,20
2021-06-30,grande,spanish,2021-06,20
2021-06-30,Bahnhof,german,2021-06,20
2021-07-01,Schnecke,german,2021-07,20
2021-07-01,hay,spanish,2021-07,20
2021-07-01,córrele,spanish,2021-07,20
2021-07-02,Rücken,german,2021-07,20
2021-07-02,está,spanish,2021-07,20
2021-07-02,schwer,german,2021-07,20
2021-07-02,einer,german,2021-07,20
2021-07-03,cayó,spanish,2021-07,20
2021-07-03,Snack,german,2021-07,20
2021-07-03,Papier,german,2021-07,20
2021-07-03,kitzeln,german,2021-07,20
2021-07-04,Glas,german,2021-07,20
2021-07-04,amigo,spanish,2021-07,20
2021-07-05,zanahoria,spanish,2021-07,20
2021-07-05,Avocado,german,2021-07,20
2021-07-05,messen,german,2021-07,20
2021-07-06,Pulli,german,2021-07,20
2021-07-06,calzón,spanish,2021-07,20
2021-07-06,vier,german,2021-07,20
2021-07-06,sechs,german,2021-07,20
2021-07-06,neun,german,2021-07,20
2021-07-06,acht,german,2021-07,20
2021-07-07,fantasma,spanish,2021-07,20
2021-07-10,cereal,spanish,2021-07,20
2021-07-10,Attacke,german,2021-07,20
2021-07-11,Titus,neutral,2021-07,20
2021-07-11,ya,spanish,2021-07,20
2021-07-11,Kiran,neutral,2021-07,20
2021-07-11,mitkommen,german,2021-07,20
2021-07-11,Schnittlauch,german,2021-07,20
2021-07-11,ausziehen,german,2021-07,20
2021-07-11,schlucken,german,2021-07,20
2021-07-11,Räuber,german,2021-07,20
2021-07-11,diez,spanish,2021-07,20
2021-07-12,mundo,spanish,2021-07,20
2021-07-12,Schatten,german,2021-07,20
2021-07-13,bueno,spanish,2021-07,20
2021-07-15,schwarz,german,2021-07,20
2021-07-15,Kreide,german,2021-07,20
2021-07-15,hier,german,2021-07,20
2021-07-15,tocar,spanish,2021-07,20
2021-07-15,shorts,spanish,2021-07,20
2021-07-16,Bäcker,german,2021-07,20
2021-07-16,Maske,german,2021-07,20
2021-07-17,Frischkäse,german,2021-07,20
2021-07-17,Heim,german,2021-07,20
2021-07-17,mantequilla,spanish,2021-07,20
2021-07-17,botas,spanish,2021-07,20
