date,word,language,month,Leo_months
2021-10-11,canción,spanish,2021-10,23
2021-10-11,pronto,spanish,2021-10,23
2021-10-11,seco,spanish,2021-10,23
2021-10-12,porfin,spanish,2021-10,23
2021-10-13,reír,spanish,2021-10,23
2021-10-13,reparando,spanish,2021-10,23
2021-10-14,algo,spanish,2021-10,23
2021-10-15,poquito,spanish,2021-10,23
2021-10-15,provecho,spanish,2021-10,23
2021-10-16,conoce,spanish,2021-10,23
2021-10-16,arcoiris,spanish,2021-10,23
2021-10-17,tope,spanish,2021-10,23
2021-10-18,agarra,spanish,2021-10,23
2021-10-18,vive,spanish,2021-10,23
2021-10-18,águila,spanish,2021-10,23
2021-10-20,perrito,spanish,2021-10,24
2021-10-25,estómago,spanish,2021-10,24
2021-10-26,hasta luego,spanish,2021-10,24
2021-10-26,jugar,spanish,2021-10,24
2021-10-26,pensar,spanish,2021-10,24
2021-10-26,llegó,spanish,2021-10,24
2021-10-27,picnic,spanish,2021-10,24
2021-10-27,falta,spanish,2021-10,24
2021-10-29,favorito,spanish,2021-10,24
2021-10-30,vacaciones,spanish,2021-10,24
2021-10-31,partir,spanish,2021-10,24
2021-10-31,Hotel,spanish,2021-10,24
2021-10-31,tarjeta,spanish,2021-10,24
2021-11-03,molinillo,spanish,2021-11,24
2021-11-03,comezón,spanish,2021-11,24
2021-11-03,muñeco,spanish,2021-11,24
2021-11-04,baila,spanish,2021-11,24
2021-11-04,parece,spanish,2021-11,24
2021-11-04,quedito,spanish,2021-11,24
2021-11-04,veo,spanish,2021-11,24
2021-11-04,cochino,spanish,2021-11,24
2021-11-05,presto,spanish,2021-11,24
2021-11-06,sirena,spanish,2021-11,24
2021-11-06,pupilentes,spanish,2021-11,24
2021-11-07,mejor,spanish,2021-11,24
2021-11-07,gol,spanish,2021-11,24
2021-11-07,camello,spanish,2021-11,24
2021-11-07,pecho,spanish,2021-11,24
2021-11-07,patada,spanish,2021-11,24
2021-11-07,dorso,spanish,2021-11,24
2021-11-08,agáchense,spanish,2021-11,24
2021-11-09,todavía,spanish,2021-11,24
2021-11-10,calabaza,spanish,2021-11,24
2021-11-10,lastimar,spanish,2021-11,24
2021-11-10,guapo,spanish,2021-11,24
2021-11-11,Radio,spanish,2021-11,24
2021-11-16,esconder,spanish,2021-11,24
2021-11-16,turno ,spanish,2021-11,24
2021-11-16,tirar,spanish,2021-11,24
2021-11-16,medicina,spanish,2021-11,24
2021-11-16,estirar ,spanish,2021-11,24
2021-11-19,historia ,spanish,2021-11,25
2021-11-20,feliz,spanish,2021-11,25
2021-11-20,ballet ,spanish,2021-11,25
2021-11-22,gusano,spanish,2021-11,25
2021-11-26,mueve,spanish,2021-11,25
2021-11-26,torre,spanish,2021-11,25
2021-11-26,cintura ,spanish,2021-11,25
2021-11-27,prima,spanish,2021-11,25
2021-11-27,Weiter,spanish,2021-11,25
2021-11-28,amaranto,spanish,2021-11,25
2021-11-28,aleman ,spanish,2021-11,25
2021-12-02,checar,spanish,2021-12,25
2021-12-03,clase ,spanish,2021-12,25
2021-12-03,pirata ,spanish,2021-12,25
2021-12-03,parche,spanish,2021-12,25
2021-12-04,chicos,spanish,2021-12,25
2021-12-05,remolino ,spanish,2021-12,25
2021-12-05,iguales ,spanish,2021-12,25
2021-12-05,escalera,spanish,2021-12,25
2021-12-06,fragen,spanish,2021-12,25
2021-12-06,keine,spanish,2021-12,25
2021-12-07,boleto,spanish,2021-12,25
2021-12-07,reiten ,spanish,2021-12,25
2021-12-08,los,spanish,2021-12,25
2021-12-08,la,spanish,2021-12,25
2021-12-08,acabo,spanish,2021-12,25
2021-12-08,cuento,spanish,2021-12,25
2021-12-09,mañanitas ,spanish,2021-12,25
2021-12-11,el,spanish,2021-12,25
2021-12-13,fichas ,spanish,2021-12,25
2021-12-14,vestir ,spanish,2021-12,25
2021-12-17,con,spanish,2021-12,25
2021-12-21,dime,spanish,2021-12,26
2021-12-21,mande,spanish,2021-12,26
2021-12-21,para,spanish,2021-12,26
2021-12-22,pata ,spanish,2021-12,26
2021-12-23,me,spanish,2021-12,26
2021-12-23,arbolito,spanish,2021-12,26
2021-12-24,regalo ,spanish,2021-12,26
2021-12-24,navidad,spanish,2021-12,26
2021-12-26,que ,spanish,2021-12,26
2021-12-28,lechuga,spanish,2021-12,26
2021-12-28,verdura,spanish,2021-12,26
2021-12-29,claro ,spanish,2021-12,26
2021-12-29,sabes,spanish,2021-12,26
2021-12-30,uralt,spanish,2021-12,26
2021-12-30,creo,spanish,2021-12,26
2022-01-04,compartimos ,spanish,2022-01,26
2022-01-06,divertido ,spanish,2022-01,26
2022-01-06,limpio,spanish,2022-01,26
2022-01-09,español,spanish,2022-01,26
2022-01-13,paseo,spanish,2022-01,26
2022-01-14,ándale ,spanish,2022-01,26
2022-01-16,paja ,spanish,2022-01,26
2022-01-17,accidente,spanish,2022-01,26
2022-01-17,compartir ,spanish,2022-01,26
2022-01-17,bote,spanish,2022-01,26
