date,word,language,month,Leo_months
2021-08-09,Knäckebrot,german,2021-08,21
2021-08-10,Biene,german,2021-08,21
2021-08-10,Schaf,german,2021-08,21
2021-08-10,Hase,german,2021-08,21
2021-08-13,ausmalen,german,2021-08,21
2021-08-13,Haargummi,german,2021-08,21
2021-08-13,Wombat,german,2021-08,21
2021-08-14,Ziege,german,2021-08,21
2021-08-14,Fahrrad,german,2021-08,21
2021-08-14,Kuchen,german,2021-08,21
2021-08-15,Stuhl,german,2021-08,21
2021-08-15,Toll,german,2021-08,21
2021-08-17,Wind,german,2021-08,21
2021-08-19,Käsefuss,german,2021-08,22
2021-08-19,Frosch,german,2021-08,22
2021-08-20,Salat,german,2021-08,22
2021-08-20,so jetzt,german,2021-08,22
2021-08-20,Paprika,german,2021-08,22
2021-08-21,Haargummi,german,2021-08,22
2021-08-21,Haferflocken,german,2021-08,22
2021-08-21,schnell,german,2021-08,22
2021-08-23,workout,german,2021-08,22
2021-08-23,Vulva,german,2021-08,22
2021-08-23,schneiden,german,2021-08,22
2021-08-25,lesen,german,2021-08,22
2021-08-25,Schweinchen,german,2021-08,22
2021-08-26,haben,german,2021-08,22
2021-08-26,ausziehen,german,2021-08,22
2021-08-26,rutschig,german,2021-08,22
2021-08-26,Supermarkt,german,2021-08,22
2021-08-26,kommen,german,2021-08,22
2021-08-26,anziehen,german,2021-08,22
2021-08-27,abholen,german,2021-08,22
2021-08-28,Huhn,german,2021-08,22
2021-08-28,Herz,german,2021-08,22
2021-08-28,tragen,german,2021-08,22
2021-08-28,alle,german,2021-08,22
2021-08-29,schade,german,2021-08,22
2021-08-29,klein,german,2021-08,22
2021-08-29,zart,german,2021-08,22
2021-08-30,vorne,german,2021-08,22
2021-08-30,links,german,2021-08,22
2021-08-30,prost,german,2021-08,22
2021-08-30,bleiben,german,2021-08,22
2021-08-30,rechts,german,2021-08,22
2021-09-01,Wassermelone,german,2021-09,22
2021-09-01,nochmal,german,2021-09,22
2021-09-02,sauber,german,2021-09,22
2021-09-03,arbeiten,german,2021-09,22
2021-09-03,Hof,german,2021-09,22
2021-09-04,noch,german,2021-09,22
2021-09-04,sagen,german,2021-09,22
2021-09-04,Löwe,german,2021-09,22
